,Date,Open,High,Low,Close,Adj Close,Volume,SMA60,Deviation,Increase Rate,Kyousi
136,2001-07-24,11608.8603515625,11883.25,11562.3798828125,11883.25,11883.25,0,13167.52744140625,0.9024663174524515,1,1
137,2001-07-25,11823.099609375,12054.2998046875,11760.9697265625,11891.6103515625,11891.6103515625,0,13132.837109375,0.9054867773448254,0,1
138,2001-07-26,11914.33984375,11962.73046875,11822.76953125,11858.5595703125,11858.5595703125,0,13098.241097005208,0.9053551146667967,0,0
139,2001-07-27,11862.41015625,11948.2001953125,11706.4697265625,11798.080078125,11798.080078125,0,13054.451432291668,0.9037591613341261,0,0
140,2001-07-30,11846.0,11868.1396484375,11539.16015625,11579.26953125,11579.26953125,0,13007.078597005207,0.8902283049105315,1,0
141,2001-07-31,11656.650390625,11877.83984375,11656.650390625,11860.76953125,11860.76953125,0,12962.601253255209,0.9149991810688064,1,1
142,2001-08-01,11920.6396484375,11972.25,11817.759765625,11959.330078125,11959.330078125,0,12923.772591145833,0.9253745370232235,1,1
143,2001-08-02,12072.1103515625,12407.3701171875,12060.5,12399.2001953125,12399.2001953125,0,12895.678434244792,0.9615004172549866,0,1
144,2001-08-03,12336.509765625,12365.8798828125,12241.26953125,12241.9697265625,12241.9697265625,0,12866.081429036458,0.9514917027444386,0,0
145,2001-08-06,12170.1103515625,12327.23046875,12095.1103515625,12243.900390625,12243.900390625,0,12836.081103515626,0.9538659262032525,0,0
146,2001-08-07,12154.7197265625,12388.6103515625,12079.5498046875,12319.4599609375,12319.4599609375,0,12810.188444010417,0.9616923291005635,0,0
147,2001-08-08,12265.240234375,12293.3896484375,12129.3701171875,12163.669921875,12163.669921875,0,12778.682438151041,0.9518719931219272,0,0
148,2001-08-09,12036.990234375,12043.0498046875,11754.5595703125,11754.5595703125,11754.5595703125,0,12746.353938802084,0.9221899553981165,0,0
149,2001-08-10,11683.2197265625,11870.91015625,11683.2197265625,11735.0595703125,11735.0595703125,0,12710.093766276043,0.9232866244818255,0,0
150,2001-08-13,11697.1201171875,11697.1201171875,11417.7001953125,11477.5595703125,11477.5595703125,0,12670.090266927084,0.9058782793578462,1,0
151,2001-08-14,11587.0400390625,11936.75,11587.0400390625,11917.9501953125,11917.9501953125,0,12632.442268880208,0.9434399098480073,0,1
152,2001-08-15,11812.0,11823.919921875,11648.8603515625,11755.400390625,11755.400390625,0,12593.512434895832,0.9334489048544966,0,0
153,2001-08-16,11645.2998046875,11645.2998046875,11450.76953125,11515.01953125,11515.01953125,0,12550.967757161457,0.9174606894101568,0,0
154,2001-08-17,11537.6904296875,11581.25,11412.3603515625,11445.5400390625,11445.5400390625,0,12510.130257161458,0.9149017479262832,0,0
155,2001-08-20,11347.240234375,11358.08984375,11239.4501953125,11257.9404296875,11257.9404296875,0,12468.330598958333,0.9029228364082714,0,0
156,2001-08-21,11317.1298828125,11370.6103515625,11159.26953125,11280.3798828125,11280.3798828125,0,12427.374104817709,0.9077042171313926,0,0
157,2001-08-22,11220.25,11504.0595703125,11202.669921875,11396.4296875,11396.4296875,0,12387.749772135418,0.9199757742229134,0,0
158,2001-08-23,11414.990234375,11414.990234375,11104.1796875,11126.919921875,11126.919921875,0,12348.30927734375,0.9010885354394458,0,0
159,2001-08-24,11190.5400390625,11230.1396484375,11075.419921875,11166.3095703125,11166.3095703125,0,12313.378776041667,0.9068436676405149,0,0
160,2001-08-27,11273.9599609375,11366.1796875,11273.9599609375,11275.009765625,11275.009765625,0,12280.26494140625,0.9181405954531355,0,0
161,2001-08-28,11255.6796875,11267.9501953125,11049.8603515625,11189.400390625,11189.400390625,0,12244.882454427083,0.9138021889772835,0,0
162,2001-08-29,11087.150390625,11142.3095703125,10973.26953125,10979.759765625,10979.759765625,0,12208.178450520832,0.899377397711333,0,0
163,2001-08-30,10918.5400390625,10969.0595703125,10807.75,10938.4501953125,10938.4501953125,0,12170.905289713543,0.898737598801079,0,0
164,2001-08-31,10811.3701171875,10860.7001953125,10684.16015625,10713.509765625,10713.509765625,0,12128.171956380209,0.8833573438896531,0,0
165,2001-09-03,10729.599609375,10758.900390625,10409.6796875,10409.6796875,10409.6796875,0,12077.829622395833,0.8618833029567999,1,0
166,2001-09-04,10413.7099609375,10772.58984375,10325.830078125,10772.58984375,10772.58984375,0,12036.9314453125,0.8949614686012963,0,1
167,2001-09-05,10679.5302734375,10679.5302734375,10452.98046875,10598.7900390625,10598.7900390625,0,11999.576285807292,0.8832636908686854,0,0
168,2001-09-06,10575.259765625,10812.8896484375,10509.6796875,10650.330078125,10650.330078125,0,11963.3576171875,0.890245900768184,0,0
169,2001-09-07,10541.8603515625,10566.650390625,10405.7998046875,10516.7900390625,10516.7900390625,0,11924.526448567709,0.8819461371839805,0,0
170,2001-09-10,10395.099609375,10457.08984375,10195.6904296875,10195.6904296875,10195.6904296875,0,11881.281624348958,0.8581305243024385,0,0
171,2001-09-11,10244.5498046875,10344.580078125,10207.0302734375,10292.9501953125,10292.9501953125,0,11841.200960286458,0.8692488396940015,0,0
172,2001-09-12,10140.419921875,10140.419921875,9600.83984375,9610.099609375,9610.099609375,0,11791.798291015624,0.8149816823696096,1,0
173,2001-09-13,9663.9296875,9682.6298828125,9476.8701171875,9613.08984375,9613.08984375,0,11740.7724609375,0.8187783108593176,1,1
174,2001-09-14,9625.259765625,10009.4501953125,9580.33984375,10008.8896484375,10008.8896484375,0,11691.546793619791,0.8560791677196609,0,1
175,2001-09-17,9881.0595703125,9881.0595703125,9447.759765625,9504.41015625,9504.41015625,0,11632.54345703125,0.8170534837336105,1,0
176,2001-09-18,9623.98046875,9945.7998046875,9623.98046875,9679.8798828125,9679.8798828125,0,11578.933626302083,0.835990618412753,1,1
